ds,yhat
2010-12-01,473617.98024575226
2011-01-01,509590.0791207423
2011-02-01,545562.1781683221
2011-03-01,578053.1068851126
2011-04-01,614025.205952517
2011-05-01,648836.9145019902
2011-06-01,684809.0134495471
2011-07-01,719620.7220799971
2011-08-01,755592.8208270693
2011-09-01,791564.9200030505
2011-10-01,826376.62923704
2011-11-01,862348.7287788292
2011-12-01,897160.4380128187
2011-12-31,931972.1472468082
2012-01-31,967944.2467885973
2012-02-29,1001595.5657147872
2012-03-31,1037567.6652565765
2012-04-30,1072379.3744905659
2012-05-31,1108351.4740323552
